Overall ranking,Year,City,Total percent below poverty,Percent of under age 18 below poverty,Percent of over age 60 below poverty,Percent of white below poverty,Percent of black below poverty,Percetn of Latino below poverty,Percent with BA or higher below poverty,State
1,2016,Flint city  ,44.5,57.7,22,37.9,47.3,50.4,21.1,Michigan
2,2016,Bloomington city  ,38.1,24.1,13,35.2,N,N,11.8,Indiana
3,2016,Reading city  ,36.8,48.9,24.5,18.4,35.1,42.8,21.3,Pennsylvania
4,2016,Detroit city  ,35.7,50.8,22.9,36.2,35.7,30,10.8,Michigan
5,2016,Youngstown city  ,35.2,53.5,20.1,21.6,45.4,52.4,12.7,Ohio
6,2016,Cleveland city  ,35,51.4,23.1,26,42.2,31.3,9.8,Ohio
7,2016,Homestead city  ,33.9,41.8,25.3,13.5,28.1,41.3,11.5,Florida
8,2016,Gainesville city  ,33.4,32,7,27.3,41.8,45.1,13.5,Florida
9,2016,Gary city  ,33.3,53.6,20,36.1,32.3,N,9.4,Indiana
10,2016,Albany city  ,32.5,45.5,17.2,16.1,36.2,N,6.1,Georgia
11,2016,Laredo city  ,32.4,44.4,23.9,4.8,N,33.3,6.3,Texas
12,2016,Rochester city  ,32.3,48.6,21.6,23.2,32.7,44.2,8.1,New York
13,2016,Syracuse city  ,32.1,47.4,17.2,23,43.1,40.5,11.5,New York
14,2016,Dayton city  ,32,47.3,20.6,27.5,37.8,N,10.8,Ohio
15,2016,Passaic city  ,31.6,45.6,21.5,6.7,18.1,38,5.4,New Jersey
16,2016,Canton city  ,31.5,48.9,13.4,21.5,44.9,N,4.5,Ohio
17,2016,College Station city  ,31.1,18.7,9.5,27.9,41.8,35.8,6.5,Texas
18,2016,Kalamazoo city  ,30.9,36.5,12.5,30.9,29.1,N,10.9,Michigan
19,2016,Shreveport city  ,30.8,45.9,19.2,15.1,39.7,N,7.1,Louisiana
20,2016,Dearborn city  ,30.6,42.1,17.6,30.8,N,N,10.3,Michigan
21,2016,Davis city  ,30.5,7.9,4.1,19.4,N,44.4,6.2,California
22,2016,Camden city  ,30.5,34.4,17.8,,27,30,7.1,New Jersey
23,2016,Buffalo city  ,30.5,43.9,18.2,21.9,35.2,37.6,11.8,New York
24,2016,Greenville city  ,30.3,30.6,12.9,32.2,29.7,N,8.1,North Carolina
25,2016,Allentown city  ,30.2,39.8,20.2,22.4,28.4,35.3,10.9,Pennsylvania
26,2016,Ames city  ,29.7,5.8,3.2,27.7,N,N,5.3,Iowa
27,2016,San Bernardino city  ,29.4,44,14.6,17.7,29,33.1,6,California
28,2016,Iowa City city  ,29.4,27.2,8.2,24.7,45.8,N,7.9,Iowa
29,2016,Brownsville city  ,28.6,39.8,24.5,6.9,N,30.2,8,Texas
30,2016,Paterson city  ,28.5,41.1,28.1,30.4,30,26.8,15.8,New Jersey
31,2016,Harlingen city  ,28.3,41.3,14.9,21.3,N,30,4.4,Texas
32,2016,Merced city  ,28.2,37.7,15.6,15.2,N,35.8,7,California
33,2016,Newark city  ,28.2,37.1,25.7,21.9,30,29.8,17.8,New Jersey
34,2016,Florence-Graham CDP  ,28.1,37.9,20.6,,N,28.1,13.9,California
35,2016,Fresno city  ,28.1,41.1,15.7,17,37.6,32.9,7.2,California
36,2016,Muncie city  ,28.1,33.9,9.3,26.9,28.2,N,11.6,Indiana
37,2016,Athens-Clarke County unified government (balance)  ,27.9,26.8,9.1,24.8,34.1,20,7.7,Georgia
38,2016,Bowling Green city  ,27.9,38.5,13.6,23.5,26.9,N,9.3,Kentucky
39,2016,Baton Rouge city  ,27.8,40.9,12.8,21,33.6,18.2,8.1,Louisiana
40,2016,Trenton city  ,27.8,37.1,22.1,25.5,29,29.1,10.3,New Jersey
41,2016,Arden-Arcade CDP  ,27.7,45.2,14.6,21,25,41.7,10.7,California
42,2016,Wilmington city  ,27.7,44.3,18.7,12.3,35.2,22.6,9.1,Delaware
43,2016,Edinburg city  ,27.6,36.3,22.7,,N,28.6,3.6,Texas
44,2016,Lake Charles city  ,27.5,41.9,17.7,13.4,39.2,N,13.7,Louisiana
45,2016,Hartford city  ,27.3,36.9,22.9,16.2,21.3,34.7,9.1,Connecticut
46,2016,Erie city  ,27.3,40.6,13.7,19,52,52.2,11,Pennsylvania
47,2016,Memphis city  ,26.9,44.7,13.2,13.3,32.3,30.8,7.8,Tennessee
48,2016,Richmond city  ,26.8,42.7,14,12.2,38.2,20.6,6,Virginia
49,2016,El Cajon city  ,26.7,40,14.9,24.4,N,27.6,7.8,California
50,2016,McAllen city  ,26.7,40.3,15.9,,N,29.6,7.7,Texas
51,2016,Milwaukee city  ,26.7,38.2,16.5,15,34.1,31,7.3,Wisconsin
52,2016,Chico city  ,26.6,23.9,9.5,25.5,N,23.8,7.7,California
53,2016,Compton city  ,26.5,37.4,18.7,,25.4,27.5,8.2,California
54,2016,Lansing city  ,26.4,41.1,15.4,22.3,31.6,18.7,5.8,Michigan
55,2016,Provo city  ,26.4,16.3,10.6,29.4,N,17.8,6.7,Utah
56,2016,Macon-Bibb County  ,26.3,37.2,20.5,14.2,33.8,N,7.1,Georgia
57,2016,Toledo city  ,26.3,39.1,14.4,17.6,37.4,37.5,8.8,Ohio
58,2016,Tallahassee city  ,26.1,20.5,9.6,20.9,34.6,34.1,6,Florida
59,2016,Cincinnati city  ,26,39,15.6,17,36.2,23.1,5.8,Ohio
60,2016,Las Cruces city  ,25.9,34.9,10.6,20.7,N,29.2,8.7,New Mexico
61,2016,Waco city  ,25.9,31.1,13.8,23.2,28.6,27.7,4,Texas
62,2016,North Charleston city  ,25.8,38.2,20.8,11.8,37,44.8,6.3,South Carolina
63,2016,Philadelphia city  ,25.7,37.3,18.8,14.8,30.8,37.9,9,Pennsylvania
64,2016,Augusta-Richmond County consolidated government (balance)  ,25.4,41.1,13.1,17.5,30.3,29.7,7.1,Georgia
65,2016,Knoxville city  ,25.4,32.6,13.5,20.7,42.4,26.9,5.8,Tennessee
66,2016,Fayetteville city  ,25.2,16.6,8.5,24.5,N,37,6,Arkansas
67,2016,Miami city  ,24.9,34.4,29,12,36.7,24.6,11.1,Florida
68,2016,Lancaster city  ,24.8,32.2,22.5,15.9,36.7,27.7,6.5,California
69,2016,Tuscaloosa city  ,24.7,24.4,6.7,21.5,26.6,N,7.7,Alabama
70,2016,South Bend city  ,24.7,35.3,16.8,16.9,40.2,24.2,7.2,Indiana
71,2016,Springfield city  ,24.7,39.9,15.7,10.4,23.7,35.2,6.1,Massachusetts
72,2016,Wilmington city  ,24.7,29.4,19.8,16.6,46.1,N,9.8,North Carolina
73,2016,Providence city  ,24.7,32.2,21.5,17.7,32.1,25.5,9,Rhode Island
74,2016,Bryan city  ,24.7,36.5,15.3,17.2,41,24.2,12.4,Texas
75,2016,Springfield city  ,24.6,27.9,12.2,22.4,N,49.1,9.7,Missouri
76,2016,Birmingham city  ,24.5,39.6,15.2,16.6,26,26.4,6.2,Alabama
77,2016,New Haven city  ,24.5,31.4,16.8,21.5,27.1,24,14.2,Connecticut
78,2016,Lawrence city  ,24.5,28.6,33.4,18.1,N,26.9,10.4,Massachusetts
79,2016,Scranton city  ,24.5,33.9,16,16.4,29.7,55.2,7.7,Pennsylvania
80,2016,Roanoke city  ,24.5,31.5,20.1,14.1,40.9,N,8.1,Virginia
81,2016,Lauderhill city  ,24.3,39.5,15.5,22.4,23.7,N,2.8,Florida
82,2016,North Little Rock city  ,24.2,42.8,15.4,9.3,36.4,N,6.1,Arkansas
83,2016,Pueblo city  ,24.2,33.2,13.8,20.7,N,27,12.3,Colorado
84,2016,Pharr city  ,24.2,35.4,14,,N,23.2,6,Texas
85,2016,Tucson city  ,24.1,33.3,14.4,19.5,25.1,28.5,8.3,Arizona
86,2016,Pine Hills CDP  ,24.1,38.2,23.2,,23.2,20.6,1.7,Florida
87,2016,Miami Gardens city  ,24,41.6,23.5,,22.8,31.8,7.4,Florida
88,2016,Albany city  ,23.9,34.5,7.9,16.4,33.8,43.3,4.1,New York
89,2016,Racine city  ,23.9,36.9,12.5,14.1,46.4,22.8,5.2,Wisconsin
90,2016,Kissimmee city  ,23.8,44.8,13.9,14.1,32.5,22.3,14.8,Florida
91,2016,St. Louis city  ,23.8,38.2,16.8,12.5,32,32,7.4,Missouri
92,2016,Evansville city  ,23.7,34.3,13.5,20.8,33,38.4,6.3,Indiana
93,2016,New Orleans city  ,23.7,33.5,17.8,9.4,31.8,17.8,6.9,Louisiana
94,2016,Akron city  ,23.7,36.4,11.4,18.6,30.4,25.6,7.9,Ohio
95,2016,Savannah city  ,23.5,34.5,10.2,17.1,24.9,29.1,7.7,Georgia
96,2016,Victorville city  ,22.9,32.2,14.1,17,24,25.2,6.4,California
97,2016,Decatur city  ,22.9,41.6,11.8,15.2,36.5,N,3.1,Illinois
98,2016,Lorain city  ,22.9,33.4,13.8,14.3,49.8,21.4,9.5,Ohio
99,2016,Ann Arbor city  ,22.8,5.5,8.5,20.1,21.2,29.4,8.6,Michigan
100,2016,Greensboro city  ,22.8,32.8,12.8,12.3,29.1,44.5,6.7,North Carolina
101,2016,Melbourne city  ,22.7,33.9,15.6,19.2,36.6,27,10.7,Florida
102,2016,Rockford city  ,22.6,33,11.4,16,37.8,24,6.2,Illinois
103,2016,Yakima city  ,22.6,32.9,10.1,11.7,N,31,4.8,Washington
104,2016,Hialeah city  ,22.5,30.6,26.6,10.7,N,22.6,17.2,Florida
105,2016,Bellingham city  ,22.5,9.5,12.2,20.8,N,21.9,5.9,Washington
106,2016,New Britain city  ,22.4,35.7,16.5,12.9,24.2,31,11.2,Connecticut
107,2016,Atlanta city  ,22.4,36.1,17.9,9.1,33,15.2,6.6,Georgia
108,2016,El Paso city  ,22.1,31.5,19.1,10.3,13.2,25,6.1,Texas
109,2016,Jackson city  ,22,35,12.3,11.5,23.7,N,6.7,Mississippi
110,2016,Mission city  ,22,30.6,14,,N,21.9,5.5,Texas
111,2016,Bridgeport city  ,21.9,29.6,15,10.2,21.9,27.2,11.8,Connecticut
112,2016,Waterbury city  ,21.9,32.6,17.7,11.7,21.5,35,7.8,Connecticut
113,2016,Bossier City city  ,21.9,30.9,12.4,8.7,48,N,5.8,Louisiana
114,2016,Baltimore city  ,21.9,32.2,19,11.8,26.8,21.5,5.9,Maryland
115,2016,Grand Rapids city  ,21.9,31.1,10.9,14.7,28.2,41.4,5.3,Michigan
116,2016,Winston-Salem city  ,21.8,30.4,14.2,13,29.6,34.1,7.2,North Carolina
117,2016,Columbus city  ,21.7,29.1,15.2,11.4,32.2,N,8.2,Georgia
118,2016,Jackson city  ,21.7,26.9,11.1,13.2,27,N,6.1,Tennessee
119,2016,Tyler city  ,21.7,29.8,11.1,13.1,32.1,28.7,4.7,Texas
120,2016,Oshkosh city  ,21.7,27.6,5,19.8,N,N,3.6,Wisconsin
121,2016,Fort Smith city  ,21.6,24.8,14.6,17.9,33.7,31.5,5.1,Arkansas
122,2016,St. Cloud city  ,21.6,26.6,9,14.7,51.2,N,5,Minnesota
123,2016,Eugene city  ,21.6,22.7,10,19.1,N,26,7.3,Oregon
124,2016,Champaign city  ,21.5,9.1,10.4,19.3,18.3,N,6.9,Illinois
125,2016,Mobile city  ,21.4,35.4,13.4,9.9,31.6,N,5.7,Alabama
126,2016,Conway city  ,21.4,20.1,9,15.8,29.1,N,9.1,Arkansas
127,2016,Lynwood city  ,21.3,32.5,17.3,,7.9,22,14.7,California
128,2016,Hammond city  ,21.3,31.7,11.2,15.2,31.8,19.4,12,Indiana
129,2016,Cicero town  ,21.1,32.9,16.8,,44,20,21.1,Illinois
130,2016,Perris city  ,21,34.9,14.1,,N,20.7,9.7,California
131,2016,Boston city  ,21,30.6,21.1,11.8,26.4,33,8.2,Massachusetts
132,2016,Columbus city  ,21,32.4,11.3,14.6,31.1,30.4,5.7,Ohio
133,2016,Hemet city  ,20.9,27.3,17.2,20,26.1,20,7,California
134,2016,Paradise CDP  ,20.9,33.3,9.5,12.9,25.9,28.8,10.9,Nevada
135,2016,Pomona city  ,20.8,31,14.4,17.6,18.9,22,10.6,California
136,2016,Houston city  ,20.8,32.8,14.3,8.4,25.1,26.3,6.4,Texas
137,2016,El Monte city  ,20.7,32.4,16.8,,N,25.2,9.8,California
138,2016,Hesperia city  ,20.7,27.7,13.4,24.6,N,18.5,5.4,California
139,2016,Fayetteville city  ,20.5,31.6,10.6,12.8,28.3,16.2,4.5,North Carolina
140,2016,Tulsa city  ,20.5,33.3,9.5,12.4,32.7,29.8,5.2,Oklahoma
141,2016,Visalia city  ,20.4,28.3,15.4,8,N,28.2,3.6,California
142,2016,Minneapolis city  ,20.4,27.3,15.9,12.1,43.7,24.7,5.3,Minnesota
143,2016,St. Joseph city  ,20.4,27.5,12.7,17.9,N,N,0.9,Missouri
144,2016,Elizabeth city  ,20.4,30.3,17.3,15.6,23.2,19.6,9.3,New Jersey
145,2016,Rock Hill city  ,20.4,26.9,7.6,11.2,29.5,N,5.5,South Carolina
146,2016,Lubbock city  ,20.4,20.7,6.7,18.2,19.4,23.6,6.8,Texas
147,2016,Phoenix city  ,20.3,30.6,13.6,12,28.6,28.2,5.4,Arizona
148,2016,Tempe city  ,20.3,23.1,8.3,15.4,26.7,26.2,9.4,Arizona
149,2016,Redding city  ,20.3,31.5,9.6,18.2,N,26.5,8.4,California
150,2016,Sunrise Manor CDP  ,20.3,27.8,17.1,14.5,30.7,20.4,13.8,Nevada
151,2016,High Point city  ,20.2,30.8,14.2,9.1,27.4,45.5,4.3,North Carolina
152,2016,Chattanooga city  ,20.2,33.4,11.7,12.4,30,N,6.1,Tennessee
153,2016,Daytona Beach city  ,20.1,26.8,14.6,17.7,26,N,11.5,Florida
154,2016,Warner Robins city  ,20.1,27.4,16.5,14.6,17.5,50.9,12.6,Georgia
155,2016,Bakersfield city  ,20,26.7,14.4,12.1,34.8,24,3.5,California
156,2016,Lawrence city  ,20,10.5,6.8,19.4,N,14.5,3.1,Kansas
157,2016,New Bedford city  ,19.9,30.9,16.5,13.7,N,39.3,6.9,Massachusetts
158,2016,Columbia city  ,19.9,21.1,16.9,14.2,26.7,N,4.9,South Carolina
159,2016,Norfolk city  ,19.9,32.8,10,12.1,28.8,19.6,5,Virginia
160,2016,Tampa city  ,19.8,28.2,16.1,10.9,31.4,25.3,6.7,Florida
161,2016,Peoria city  ,19.8,23.2,13.3,13.3,35.6,29.5,5.4,Illinois
162,2016,Kansas City city  ,19.8,25.9,14.6,11.6,28.2,21.8,3.6,Kansas
163,2016,Brockton city  ,19.7,27.8,13.6,8.8,22.3,33.6,8.2,Massachusetts
164,2016,Columbia city  ,19.7,14.6,8.7,18.5,29.8,N,6,Missouri
165,2016,Dothan city  ,19.6,28.6,11,10.9,34.9,N,6.3,Alabama
166,2016,Lowell city  ,19.6,20.7,17.4,11.9,29.3,40,5.9,Massachusetts
167,2016,Abilene city  ,19.6,21.2,17,16.5,26.5,23.9,6.3,Texas
168,2016,Los Angeles city  ,19.5,28.5,15.4,11,27.4,24.1,7.1,California
169,2016,Norman city  ,19.5,13.9,8.4,16.4,N,21.6,8.6,Oklahoma
170,2016,Orlando city  ,19.4,29.4,14.5,13.5,28.9,21.1,8.4,Florida
171,2016,Lafayette city  ,19.4,24.9,9.6,11.6,33.5,N,6.5,Louisiana
172,2016,Dallas city  ,19.4,30.6,13.7,9.1,26.8,22.5,6,Texas
173,2016,Montgomery city  ,19.3,29.6,9.8,7.2,24.4,44.2,3.3,Alabama
174,2016,Hawthorne city  ,19.3,27.3,13.7,17.1,16.9,21.1,10.8,California
175,2016,Indio city  ,19.3,26.3,11.8,11.5,N,22.8,2.9,California
176,2016,Boulder city  ,19.3,5.2,11,18.5,N,16.9,5.6,Colorado
177,2016,Lafayette city  ,19.3,26.3,8.7,14.5,N,N,7.1,Indiana
178,2016,Worcester city  ,19.3,27.3,13.2,15.2,17.3,31.8,7.2,Massachusetts
179,2016,Missoula city  ,19.3,22.3,6.7,19.3,N,N,9.1,Montana
180,2016,Johnson City city  ,19.3,31.6,2.2,16.8,N,N,3.9,Tennessee
181,2016,St. Paul city  ,19.2,28,11.9,8.9,33.4,19.5,4.1,Minnesota
182,2016,Gulfport city  ,19.2,31.6,11.3,15,26.9,N,4.4,Mississippi
183,2016,Pittsburgh city  ,19.2,21.5,13.4,14.9,28.6,18.7,6.5,Pennsylvania
184,2016,Wichita Falls city  ,19.2,22.1,15.6,13.6,32.5,26.6,8.7,Texas
185,2016,Lehigh Acres CDP  ,19.1,30.2,12.9,13.1,27.5,23.4,9.5,Florida
186,2016,Chicago city  ,19.1,28.3,16.6,8.7,30.5,19,6.4,Illinois
187,2016,Fall River city  ,19.1,28.5,14.4,12.8,N,50.1,3.2,Massachusetts
188,2016,Sacramento city  ,19,27.8,13.4,14.6,23.1,20.8,6.1,California
189,2016,Fort Wayne city  ,19,28.1,9,12.5,34.2,24.7,5,Indiana
190,2016,Oakland city  ,18.9,30.8,17.1,9.3,25.8,23.2,5.6,California
191,2016,Indianapolis city (balance)  ,18.9,29.3,10,11.9,26.5,35,5.8,Indiana
192,2016,Portland city  ,18.9,27.7,19.2,13.2,N,N,8.4,Maine
193,2016,New York city  ,18.9,26.6,18.3,11.7,20.8,26.6,7,New York
194,2016,Kenosha city  ,18.9,29.1,10.5,12.2,32.5,37,4.4,Wisconsin
195,2016,Little Rock city  ,18.8,25.5,12.9,11.3,25.8,36.1,5.9,Arkansas
196,2016,Long Beach city  ,18.8,27.9,12.5,9.8,21,24.8,4.9,California
197,2016,South Gate city  ,18.8,26.5,12,,N,19,3.3,California
198,2016,Davenport city  ,18.8,29.3,9.9,15.7,48,7.1,4.1,Iowa
199,2016,Waterloo city  ,18.7,26,11.3,12.6,40.4,34.8,6.8,Iowa
200,2016,Duluth city  ,18.7,15,10.9,15,N,N,3.6,Minnesota
201,2016,Beaumont city  ,18.7,28,10,6.8,26.1,21.5,4.4,Texas
202,2016,Denton city  ,18.7,18,6.5,16.2,20.8,20.1,7.4,Texas
203,2016,Longview city  ,18.7,27.9,13.3,13,35.1,12.8,6.8,Texas
204,2016,Washington city  ,18.6,25.8,15.6,7.2,27.9,17.8,6.3,District of Columbia
205,2016,Kenner city  ,18.6,29.8,12.4,5.6,35.7,24.5,9.2,Louisiana
206,2016,Springfield city  ,18.5,29.1,11,11.6,43.6,N,6.3,Illinois
207,2016,Bayonne city  ,18.5,29,15.4,14.4,N,23.6,7.8,New Jersey
208,2016,San Antonio city  ,18.5,26.2,14.3,10.4,23.6,21.4,7,Texas
209,2016,Yuba City city  ,18.3,28.6,5.4,14,N,26,1.9,California
210,2016,Gastonia city  ,18.3,27.5,13.2,8.6,28,30.4,4.3,North Carolina
211,2016,Pompano Beach city  ,18.2,24.9,14.5,15.9,17.8,23.2,11.5,Florida
212,2016,Rapid City city  ,18.2,28.9,10.2,10.6,N,N,5.8,South Dakota
213,2016,Palmdale city  ,18.1,25.4,11.5,7.9,41,18.8,3.3,California
214,2016,Rialto city  ,18.1,24.8,13.3,10.8,35,17.3,8.5,California
215,2016,Warren city  ,18.1,26.2,12.6,18.8,13.9,19.6,9.1,Michigan
216,2016,Bethlehem city  ,18.1,33.9,10.1,8.4,N,36.3,5.1,Pennsylvania
217,2016,Deerfield Beach city  ,17.9,31.6,15.7,14.4,18.8,20.4,6.2,Florida
218,2016,Wichita city  ,17.8,25.1,10.3,13.3,31.6,26.5,4.2,Kansas
219,2016,Stockton city  ,17.7,22.4,11.4,14.1,26.2,18,7.8,California
220,2016,Westminster city  ,17.7,24.2,14.5,8.9,N,21.9,9,California
221,2016,Lexington-Fayette urban county  ,17.7,24.8,9.1,13,33.3,35.2,5.6,Kentucky
222,2016,Pasadena city  ,17.7,23.1,11.6,8.7,N,20.9,6,Texas
223,2016,Spokane city  ,17.7,23.5,10.3,15.4,N,32.9,6.2,Washington
224,2016,Flagstaff city  ,17.6,7.9,6.6,17.4,N,24.6,7.7,Arizona
225,2016,Lynn city  ,17.6,27.7,20.5,15.2,19.5,19.7,10.6,Massachusetts
226,2016,Ogden city  ,17.6,15.8,17.8,14,N,23,3.7,Utah
227,2016,Lawton city  ,17.5,28.7,8.5,12.5,26.9,19.1,6.7,Oklahoma
228,2016,Fort Worth city  ,17.5,24.8,12.8,8.9,24,24.4,5.3,Texas
229,2016,Palm Bay city  ,17.4,21.5,20.7,12,31.5,23.4,7.3,Florida
230,2016,Hampton city  ,17.4,25.8,11.3,14.4,20.5,11,6.8,Virginia
231,2016,Huntsville city  ,17.3,25.4,9.1,5.5,32.6,55.7,4.4,Alabama
232,2016,Norwalk city  ,17.3,24,15.5,22,19.9,16.3,6.8,California
233,2016,Greeley city  ,17.3,17.8,9.5,14.6,N,18.7,4,Colorado
234,2016,Town 'n' Country CDP  ,17.3,29.4,10.9,9.8,N,23.5,7.3,Florida
235,2016,Waukegan city  ,17.3,24.1,10.2,16.5,25.3,16.3,5.6,Illinois
236,2016,Union City city  ,17.3,21.8,21.3,14.8,N,18.9,9.8,New Jersey
237,2016,East Los Angeles CDP  ,17.2,25.8,16.1,,N,17.1,5.9,California
238,2016,Santa Ana city  ,17.2,24,14.5,8.6,N,18,7.5,California
239,2016,Jersey City city  ,17.2,23.5,20.6,16.2,18.7,22.1,6.4,New Jersey
240,2016,Schenectady city  ,17.2,25.7,10.4,9.3,30.8,N,4.2,New York
241,2016,Jonesboro city  ,17.1,18.5,11.3,11.7,25.7,N,4.8,Arkansas
242,2016,Fort Myers city  ,17.1,33.3,8.8,11.6,17.1,30.5,3,Florida
243,2016,Albuquerque city  ,17.1,27,8.5,11.4,17.6,21.2,5.8,New Mexico
244,2016,Durham city  ,17.1,26.4,7.5,8.4,24.3,17.7,6.9,North Carolina
245,2016,Jurupa Valley city  ,17,23.5,17.9,9.8,N,19.1,4,California
246,2016,West Palm Beach city  ,17,31,13.4,10.1,23.1,22.8,6,Florida
