Overall ranking,Year,City,Total percent below poverty,Percent of under age 18 below poverty,Percent of over age 60 below poverty,Percent of white below poverty,Percent of black below poverty,Percetn of Latino below poverty,Percent with BA or higher below poverty,State
247,2016,Portsmouth city  ,17,32.5,9.9,8.2,23.2,N,4.4,Virginia
248,2016,Vallejo city  ,16.9,31.2,9,14.7,27.2,17.7,4.6,California
249,2016,Mount Vernon city  ,16.9,20.7,14.5,12.8,14.3,26.5,8.9,New York
250,2016,Madison city  ,16.9,12.8,7.5,14.2,33.5,18.6,4.2,Wisconsin
251,2016,Mesa city  ,16.8,24.6,9.9,10.1,30.3,28.8,6.3,Arizona
252,2016,Apple Valley town  ,16.8,24.7,3.1,7.7,30.7,24,1.9,California
253,2016,Oklahoma City city  ,16.8,26.2,9,9.7,30.7,26.2,4.1,Oklahoma
254,2016,Yuma city  ,16.7,23.5,14.9,11.1,N,20.1,4.1,Arizona
255,2016,Clearwater city  ,16.7,27.5,10.9,14.3,20.4,24.4,7.5,Florida
256,2016,Temple city  ,16.6,25.9,9.3,15,31.6,16.1,2.7,Texas
257,2016,Glendale city  ,16.4,23.6,9.5,10.5,23.8,23.4,8,Arizona
258,2016,Moreno Valley city  ,16.4,24.6,10.7,12.8,12.4,18.5,9.4,California
259,2016,Spring Hill CDP  ,16.4,20.6,11,13.6,10.4,23.7,9.6,Florida
260,2016,Kansas City city  ,16.4,25.7,9.3,8.8,28.3,23.9,4.5,Missouri
261,2016,Amarillo city  ,16.4,20.6,10.9,11.7,25,21.4,2.5,Texas
262,2016,Everett city  ,16.3,23.6,12.4,12.7,N,22.9,4.2,Washington
263,2016,Pasco city  ,16.3,26.5,15.2,7.1,N,22.5,3.3,Washington
264,2016,Tacoma city  ,16.3,21.3,9.4,11.5,28.7,27.3,4.2,Washington
265,2016,Des Moines city  ,16.2,24.7,12,12,30.6,27.4,4.9,Iowa
266,2016,Berkeley city  ,16.1,3.7,10.1,10,19.3,14.5,6.8,California
267,2016,Salt Lake City city  ,16.1,21.3,9.8,10.9,64.8,22.1,6.2,Utah
268,2016,Brentwood CDP  ,16,26.8,14.8,11.8,N,20.6,5.4,New York
269,2016,Arlington city  ,15.9,24.5,9.8,8.6,18.4,23,8.7,Texas
270,2016,Chino city  ,15.8,23.7,8.3,3.7,N,20.6,7.4,California
271,2016,Santa Barbara city  ,15.8,15.7,7.5,12.2,N,20.2,4.7,California
272,2016,Fort Collins city  ,15.7,11.2,7.7,14.7,N,19.1,4.4,Colorado
273,2016,Nampa city  ,15.7,16,9.8,16.2,N,14.4,6.5,Idaho
274,2016,Louisville/Jefferson County metro government (balance)  ,15.7,22.6,10.5,10.1,29.4,22.8,4,Kentucky
275,2016,East Orange city  ,15.7,15.3,15.9,,16,N,,New Jersey
276,2016,Victoria city  ,15.7,20.8,8.8,7.1,N,22.4,5.5,Texas
277,2016,Springdale city  ,15.6,24.9,9.6,8,N,29.8,6.3,Arkansas
278,2016,Upland city  ,15.6,26.9,9.2,9.9,N,19.9,8,California
279,2016,Independence city  ,15.6,27.3,8.5,11.6,33,31.8,5.5,Missouri
280,2016,Las Vegas city  ,15.6,22.4,11.4,9.6,23.9,20.6,7.1,Nevada
281,2016,Asheville city  ,15.6,17,10.1,13,17.8,N,6.9,North Carolina
282,2016,Gresham city  ,15.6,28.8,6.3,9.5,N,38.6,3.6,Oregon
283,2016,Pawtucket city  ,15.6,19,15.1,14.7,15.9,18.4,4.3,Rhode Island
284,2016,Green Bay city  ,15.6,20.1,11.2,9.7,N,17.7,4.2,Wisconsin
285,2016,Fort Lauderdale city  ,15.5,27.9,13.4,8.7,27.8,15.2,3.8,Florida
286,2016,Yonkers city  ,15.5,21.1,14.4,7.5,22.7,22.7,5.7,New York
287,2016,Concord city  ,15.5,22.7,9.3,10.4,20.1,45.3,2.5,North Carolina
288,2016,Mesquite city  ,15.5,22,11.2,9.4,13.1,22.2,4.1,Texas
289,2016,Alafaya CDP  ,15.4,11.6,4.3,7.7,N,16.2,16.7,Florida
290,2016,Eau Claire city  ,15.4,9.2,13.1,13.2,N,N,1.4,Wisconsin
291,2016,Lakeland city  ,15.2,17.3,15.8,11.2,26.3,21.4,8.2,Florida
292,2016,Charleston city  ,15.2,17.8,9.2,9.9,30.7,N,7.2,South Carolina
293,2016,Riverside city  ,15.1,18.7,11.1,10.9,20.8,16.9,6.1,California
294,2016,Reno city  ,15.1,19,9,12.7,25.3,21.3,3.4,Nevada
295,2016,Nashville-Davidson metropolitan government (balance)  ,15.1,22.9,9.9,10.1,21.7,24.9,6.2,Tennessee
296,2016,Anaheim city  ,15,21.2,11.2,12.6,14.3,17.9,7.2,California
297,2016,Santa Maria city  ,15,19.9,11.3,9.4,N,17.2,5.1,California
298,2016,Inglewood city  ,14.9,23.1,14,,11.3,17.4,6.1,California
299,2016,Jacksonville city  ,14.9,20.4,11.7,10.6,22.3,12.7,5.7,Florida
300,2016,Elgin city  ,14.9,22.9,5.8,6.8,N,19.8,5,Illinois
301,2016,Sioux City city  ,14.9,21.2,8.3,10.6,N,23.1,7.7,Iowa
302,2016,Salem city  ,14.9,21.5,7.8,9.7,N,27.8,3.5,Oregon
303,2016,Oxnard city  ,14.8,19.1,11,10.6,N,15.7,6.3,California
304,2016,Salinas city  ,14.8,20.7,16.4,9,10.7,16.6,7.3,California
305,2016,Cambridge city  ,14.8,10,16.4,8.4,18.7,37.2,6.8,Massachusetts
306,2016,Clarksville city  ,14.8,19.4,11.1,12,19.1,21.3,6.8,Tennessee
307,2016,Escondido city  ,14.7,24.6,5,7,N,20.6,5.3,California
308,2016,Sunrise city  ,14.7,23.2,16.2,10,24.8,9.1,6.8,Florida
309,2016,Portland city  ,14.7,18.8,12.4,10.5,29.4,30.5,6.2,Oregon
310,2016,Ontario city  ,14.6,25,8.4,6.6,21,16.5,1.8,California
311,2016,Largo city  ,14.6,19.9,8.3,12.4,N,21,5.3,Florida
312,2016,Conroe city  ,14.6,16,5.6,14.3,N,17.5,1.3,Texas
313,2016,Lynchburg city  ,14.6,17.6,12.5,10.4,22.1,N,10.1,Virginia
314,2016,Richmond city  ,14.5,17.1,12.3,10.8,10.5,20.1,6.5,California
315,2016,Boise City city  ,14.5,15.9,12.6,11.7,N,36,4.7,Idaho
316,2016,Brooklyn Park city  ,14.5,22.1,6.7,4.2,20.1,45.9,4.8,Minnesota
317,2016,Avondale city  ,14.4,22.2,10.2,11.5,N,16.8,4.4,Arizona
318,2016,Glendale city  ,14.4,16.5,19.8,16.4,N,15,7.1,California
319,2016,Boynton Beach city  ,14.4,27.4,13.3,8.3,25.9,12,5.6,Florida
320,2016,Omaha city  ,14.4,19.5,8.2,9.4,29.4,20,4.4,Nebraska
321,2016,Carmichael CDP  ,14.3,23.6,6.4,13.1,N,N,3.7,California
322,2016,Pasadena city  ,14.3,17.2,17.2,9.2,15.7,19.2,7.8,California
323,2016,Santa Fe city  ,14.3,23.8,9.6,9.6,N,18.4,5.9,New Mexico
324,2016,Clovis city  ,14.2,22.3,7.2,9.6,N,28.1,2.3,California
325,2016,Wyoming city  ,14.2,18.9,8.8,8.8,32.7,25.2,4.3,Michigan
326,2016,North Las Vegas city  ,14.2,20.1,9.8,5.3,24.4,17.3,5.3,Nevada
327,2016,St. George city  ,14.2,15.9,7.4,10.1,N,28.6,2.7,Utah
328,2016,Port St. Lucie city  ,14.1,22.5,13.3,13,8.2,22.4,10.3,Florida
329,2016,Evanston city  ,14.1,10.6,7.9,8.5,17.4,17.8,4.5,Illinois
330,2016,Manchester city  ,14.1,18.6,7.7,12.1,N,27.4,6,New Hampshire
331,2016,Corpus Christi city  ,14.1,20.8,11.1,10.1,27.1,15.1,3.9,Texas
332,2016,Fullerton city  ,14,22.2,6.9,9.2,N,21.6,6.5,California
333,2016,Garden Grove city  ,14,15.7,12.2,10.4,N,12.5,8.3,California
334,2016,Kent city  ,14,22,9.1,12.5,31.4,16.4,5.8,Washington
335,2016,Davie town  ,13.8,12.7,12.9,10.7,29.7,14.4,10.5,Florida
336,2016,Fargo city  ,13.8,18.6,9,10.7,N,N,2.4,North Dakota
337,2016,Garland city  ,13.8,22,7.6,5.5,10.8,20.2,2.6,Texas
338,2016,Federal Way city  ,13.8,21.2,8.9,10.4,N,20.5,3.7,Washington
339,2016,Modesto city  ,13.7,14.8,12.2,11.5,22.3,13.4,5.7,California
340,2016,Denver city  ,13.7,19.9,11.9,8.5,25.2,18.4,3.8,Colorado
341,2016,Lincoln city  ,13.7,15.8,5.4,10.2,34.2,30.9,4.5,Nebraska
342,2016,Appleton city  ,13.7,22.1,6.7,10.7,N,N,4.7,Wisconsin
343,2016,Rio Rancho city  ,13.6,19,10.1,11.6,N,16.8,7,New Mexico
344,2016,Bellflower city  ,13.5,18.3,11.5,13.2,20,14,11.1,California
345,2016,Vista city  ,13.5,18.2,10.9,9.4,N,15.4,10.8,California
346,2016,Miami Beach city  ,13.5,10.8,21.3,8.6,N,16.9,9.8,Florida
347,2016,Austin city  ,13.5,18.4,8.8,8.5,24.4,17.5,4.9,Texas
348,2016,Charlotte city  ,13.4,20.2,8.6,7.4,15.9,27.2,3.4,North Carolina
349,2016,Newport News city  ,13.4,17.1,8.8,8.5,18.9,25.8,5.7,Virginia
350,2016,Medford city  ,13.3,9,9,11.7,N,21.1,4.4,Oregon
351,2016,Colorado Springs city  ,13.2,17.9,8.1,10.5,17.6,21.1,4.3,Colorado
352,2016,Murfreesboro city  ,13.2,18.7,4.9,10.8,21,N,3.4,Tennessee
353,2016,Irving city  ,13.2,18.8,7.3,11.1,13.7,17.6,4.6,Texas
354,2016,San Diego city  ,13.1,15.5,9.9,8.6,21.4,18.3,5.5,California
355,2016,Turlock city  ,13,16.4,13.6,11.1,N,14.1,3.7,California
356,2016,Killeen city  ,13,19.2,15.1,9.4,16.4,16.7,6.2,Texas
357,2016,Baldwin Park city  ,12.9,21.7,8.8,,N,15,4.5,California
358,2016,Citrus Heights city  ,12.8,22.4,5.4,11.2,N,18.2,3.8,California
359,2016,Hollywood city  ,12.8,15.1,16.5,13.6,11.9,12.1,7.5,Florida
360,2016,St. Petersburg city  ,12.8,18.7,10.2,10.5,17.6,14.9,5.1,Florida
361,2016,Glen Burnie CDP  ,12.8,20.3,11.1,11.3,18.6,N,4.6,Maryland
362,2016,Spring Valley CDP  ,12.8,16.9,10.2,10.9,10.2,20.1,6.8,Nevada
363,2016,Alhambra city  ,12.7,10.6,14.5,11.8,N,8.8,11.6,California
364,2016,Irvine city  ,12.7,6.2,9.6,11.5,N,21.7,6.8,California
365,2016,Southfield city  ,12.7,17.7,8.8,9.7,12.9,N,5.9,Michigan
366,2016,San Angelo city  ,12.7,16.2,9.7,11.5,N,14.6,3.1,Texas
367,2016,Waukesha city  ,12.7,16.2,4,9.2,N,20.1,3.1,Wisconsin
368,2016,Redlands city  ,12.6,12.3,12.1,10.4,N,14.9,3.8,California
369,2016,Topeka city  ,12.6,13.2,9.3,12,21.1,10,2.9,Kansas
370,2016,Somerville city  ,12.6,23.1,14.5,9.1,N,N,5.6,Massachusetts
371,2016,Kennewick city  ,12.6,15.9,8.5,9.6,N,20.4,4.3,Washington
372,2016,Delray Beach city  ,12.5,12.1,11.8,10.2,19.6,11.5,6.5,Florida
373,2016,New Rochelle city  ,12.5,11.4,8,6,17.3,19.9,5.7,New York
374,2016,Alexandria city  ,12.5,21.8,14,5.9,20.2,22.2,3,Virginia
375,2016,Miramar city  ,12.4,17.4,16.3,8.8,11.8,11.6,6.1,Florida
376,2016,Vancouver city  ,12.4,15.3,8.9,11.9,N,11,4.3,Washington
377,2016,Aurora city  ,12.3,20,7.5,4.3,22.5,17.3,3.3,Illinois
378,2016,Aurora city  ,12.2,18.6,7.1,6.7,16.4,17.9,4.7,Colorado
379,2016,Odessa city  ,12.2,18,6.7,5.4,N,13.5,2.9,Texas
380,2016,Raleigh city  ,12.1,17.1,5.3,7.8,16.8,19.9,3.6,North Carolina
381,2016,Lewisville city  ,12.1,19.3,7.5,5.3,8,22.9,2.7,Texas
382,2016,Antioch city  ,12,18.3,5.9,5,17.3,17.8,3.6,California
383,2016,Buena Park city  ,12,14.9,16.3,11.2,N,12.4,5.2,California
384,2016,Murrieta city  ,11.9,17.4,7.8,7.5,N,12.1,2.3,California
385,2016,Cape Coral city  ,11.9,14.4,11.2,8.8,N,20.7,5.8,Florida
386,2016,Cedar Rapids city  ,11.9,17.2,7.1,9.6,49.7,N,4.7,Iowa
387,2016,Orem city  ,11.9,13.8,3.1,9.3,N,20.4,6,Utah
388,2016,Corona city  ,11.8,14.2,10.1,9.1,N,14,7.3,California
389,2016,Fontana city  ,11.8,18.6,10.5,8.5,17.4,13,2.9,California
390,2016,Pembroke Pines city  ,11.8,13.6,13.7,9.3,10.5,12.8,5.4,Florida
391,2016,Sterling Heights city  ,11.8,18.2,9.7,12.3,N,N,6,Michigan
392,2016,Palm Coast city  ,11.7,17.4,10.7,11.4,22.9,N,5.5,Florida
393,2016,Costa Mesa city  ,11.6,14.1,5.7,9.1,N,16.2,4.1,California
394,2016,Mountain View city  ,11.6,14,10.5,5.7,N,27.4,4.1,California
395,2016,Rancho Cordova city  ,11.6,18,9.6,11.6,13.9,14.9,6.7,California
396,2016,San Marcos city  ,11.6,15.4,8.9,5.4,N,21.3,2.3,California
397,2016,Baytown city  ,11.6,12.8,13.4,11.5,15.9,11.4,2.9,Texas
398,2016,Deltona city  ,11.5,9.1,11.7,9.1,3.8,18.1,11.8,Florida
399,2016,Seattle city  ,11.5,14.4,9.1,7.4,37.1,11.8,4.5,Washington
400,2016,Urban Honolulu CDP  ,11.3,12.2,12.9,9.8,N,10.4,6.4,Hawaii
401,2016,Westland city  ,11.3,14.4,8.4,8.6,21.9,N,5.7,Michigan
402,2016,Suffolk city  ,11.3,17.2,5.8,4.5,19.4,N,2.1,Virginia
403,2016,Manteca city  ,11.2,13.4,8.1,8.2,N,14.9,0.9,California
404,2016,Santa Monica city  ,11.2,11.6,14,8.5,N,15.6,7.2,California
405,2016,Tamarac city  ,11.2,12.5,14.4,10.6,8.4,8.4,9.3,Florida
406,2016,Sandy Springs city  ,11.2,20.4,4.7,3.8,14.2,25.6,5.8,Georgia
407,2016,Rochester city  ,11.2,13.9,7,6.8,46.4,29.8,3,Minnesota
408,2016,Jacksonville city  ,11.1,9.5,9.3,7.7,22.6,N,6.4,North Carolina
409,2016,Concord city  ,11,11.3,10.4,6.4,N,17.8,6.5,California
410,2016,Oceanside city  ,11,17.5,6.1,8,7.9,16.4,4.2,California
411,2016,Pittsburg city  ,11,13.6,8.4,8.6,9,9.6,6.6,California
412,2016,Joliet city  ,11,17.5,5.2,5.7,19.6,17.4,1.8,Illinois
413,2016,Spokane Valley city  ,11,14.5,8.4,8.9,N,N,4.7,Washington
414,2016,West Covina city  ,10.8,15.7,6.8,8.1,20.5,10.6,4.6,California
415,2016,Kendall CDP  ,10.8,13.3,11.6,7.2,N,12.3,5.9,Florida
416,2016,Greenville city  ,10.8,7.9,14.3,9.1,17,N,4.3,South Carolina
417,2016,San Jose city  ,10.7,12.6,10.5,6.3,17.6,14.6,4.3,California
418,2016,Bloomington city  ,10.7,8.7,7.4,10.5,22.2,N,5.2,Illinois
419,2016,Auburn city  ,10.7,13.2,3.8,5.9,N,N,4,Washington
420,2016,Edmond city  ,10.6,13,2.1,6.9,N,N,3.6,Oklahoma
421,2016,Burbank city  ,10.5,8.8,13.1,9.4,N,11.9,5,California
422,2016,Chula Vista city  ,10.5,12.2,12.3,9.3,N,10.2,2.9,California
423,2016,Hayward city  ,10.5,14.3,11.4,10.2,12.2,12,4.7,California
424,2016,Renton city  ,10.5,9.6,11.2,9.4,14,N,5.8,Washington
425,2016,Casas Adobes CDP  ,10.4,13.4,7.4,7.1,N,16.3,4.3,Arizona
426,2016,Frederick city  ,10.4,7.5,10.4,8.7,15.3,N,2.9,Maryland
427,2016,Cheektowaga CDP  ,10.4,14.8,8.9,6.1,28.1,N,5,New York
428,2016,Bend city  ,10.4,15.8,8.2,10.2,N,11.9,5.9,Oregon
429,2016,Hillsboro city  ,10.4,14.6,5.1,6.7,N,20.5,3.3,Oregon
430,2016,Fairfield city  ,10.3,17.9,7.7,6.5,17.3,12.9,2.7,California
431,2016,Riverview CDP  ,10.3,13.5,9.5,10.7,N,12.8,5.7,Florida
432,2016,Sioux Falls city  ,10.3,11.3,10.3,6.9,N,24.8,3.7,South Dakota
433,2016,Grand Prairie city  ,10.3,15.6,6.9,8.5,7,13.6,3.2,Texas
434,2016,West Valley City city  ,10.3,15.3,5.7,6.2,N,14.7,3.3,Utah
435,2016,San Leandro city  ,10.2,8.7,14.1,6,14.8,9.5,6.9,California
436,2016,Tustin city  ,10.2,12.4,14.5,11.4,N,9.9,4.6,California
437,2016,Quincy city  ,10.2,14.8,12.7,9.6,N,N,7.2,Massachusetts
438,2016,St. Charles city  ,10.2,15.4,3.2,8.3,N,N,1.7,Missouri
439,2016,Lakewood city  ,10.1,15.1,8.4,7,33.6,9.9,3.8,California
440,2016,San Francisco city  ,10.1,9,11.8,6.7,28.7,12.9,5.2,California
441,2016,Franklin city  ,10.1,15.9,3.3,4.7,N,49.8,3.9,Tennessee
442,2016,Carrollton city  ,10,16.5,4.3,5.2,2.9,17.5,3.9,Texas
443,2016,San Tan Valley CDP  ,9.9,12,7.6,11.5,N,N,8.6,Arizona
444,2016,Silver Spring CDP  ,9.9,11.2,6.1,4.5,11.8,N,3.5,Maryland
445,2016,Surprise city  ,9.7,13.9,4.8,10.2,9.3,9.5,3.3,Arizona
446,2016,Sparks city  ,9.7,14.4,10.5,7.4,N,16.4,3,Nevada
447,2016,Metairie CDP  ,9.6,13.6,6.4,7,20.7,14.8,2.9,Louisiana
448,2016,Beaverton city  ,9.6,14.6,9.1,7.3,N,N,5,Oregon
449,2016,Midland city  ,9.6,11.4,7.2,6,8.6,13.8,1.8,Texas
450,2016,South San Francisco city  ,9.5,11.5,12,18.5,N,10.7,4.7,California
451,2016,Loveland city  ,9.5,15,9.1,9.3,N,N,6.2,Colorado
452,2016,Whittier city  ,9.4,10.7,10.4,6.3,N,9.8,1.7,California
453,2016,Richardson city  ,9.4,14.2,6.1,4.9,23.1,14.4,1.7,Texas
454,2016,Rogers city  ,9.3,8.7,21.3,10.9,N,7.2,3.9,Arkansas
455,2016,Santa Rosa city  ,9.3,10.6,7.3,8.1,N,11.3,6.3,California
456,2016,Coral Springs city  ,9.3,11.9,10.1,6.2,19.9,8.6,3.7,Florida
457,2016,The Hammocks CDP  ,9.3,10,11.7,7.1,N,10.1,6.4,Florida
458,2016,Skokie village  ,9.2,10.8,9.9,8.4,N,N,6.3,Illinois
459,2016,Nashua city  ,9.1,12.8,8.6,8.6,N,N,4.5,New Hampshire
460,2016,Orange city  ,9,10,5.9,7.4,N,9.5,2.9,California
461,2016,Gaithersburg city  ,9,9.5,8.8,6.5,15.3,10.8,2.1,Maryland
462,2016,Danbury city  ,8.9,9.7,9.4,6.2,N,10.6,3.3,Connecticut
463,2016,Brandon CDP  ,8.8,13.7,7.4,5.9,N,13.7,3,Florida
464,2016,Farmington Hills city  ,8.8,14.4,6.1,9.5,10.4,N,1.5,Michigan
465,2016,Camarillo city  ,8.7,13.8,5.1,8.1,N,11.3,4.6,California
466,2016,Westminster city  ,8.7,11.1,7.9,6.1,N,15.3,3.5,Colorado
467,2016,Boca Raton city  ,8.7,6.8,5.9,5.4,N,29.3,6,Florida
468,2016,Palo Alto city  ,8.6,12,10.1,3.8,N,N,4.4,California
469,2016,Redwood City city  ,8.6,11.1,8.3,5.5,N,13.5,4,California
470,2016,Lakewood city  ,8.6,10.6,9.1,6.2,N,17.2,4,Colorado
471,2016,Billings city  ,8.6,7.5,8,9.1,N,N,4.8,Montana
472,2016,Clifton city  ,8.6,13.4,5.6,9.3,N,6.4,3.5,New Jersey
473,2016,Parma city  ,8.6,16.8,4.7,6.7,N,N,5.6,Ohio
474,2016,Broken Arrow city  ,8.6,12.4,5.9,7.3,N,22.8,2.3,Oklahoma
475,2016,Warwick city  ,8.6,12,10.7,9.1,N,N,2.8,Rhode Island
476,2016,Carson city  ,8.5,11.3,9.1,6.4,8.6,10.5,3.8,California
477,2016,Broomfield city  ,8.5,9.9,8,7.1,N,21.7,3.5,Colorado
478,2016,Bolingbrook village  ,8.5,13.3,8.5,4.4,21.1,7.9,5.9,Illinois
479,2016,Henderson city  ,8.5,10.7,5.5,7.6,19.4,8.5,4.3,Nevada
480,2016,Rancho Cucamonga city  ,8.4,9.5,7.6,6.4,9,10,3.8,California
481,2016,Plantation city  ,8.4,10.9,5.6,6.9,12.3,6.3,6.8,Florida
482,2016,Framingham CDP  ,8.4,9.9,8.2,5.6,N,29.2,2.8,Massachusetts
483,2016,Stamford city  ,8.3,9.7,7.8,5.6,13.8,11.7,3.7,Connecticut
484,2016,Castro Valley CDP  ,8.2,6.9,8.2,10,N,5.4,3.3,California
485,2016,Huntington Beach city  ,8.2,13.4,5.3,6.2,N,16.6,2.5,California
486,2016,Menifee city  ,8.2,8.2,5.8,9.7,N,5.6,4.4,California
487,2016,San Buenaventura (Ventura) city  ,8.2,5.5,7.3,8.9,N,7.9,3.3,California
488,2016,Roswell city  ,8.2,9,7.7,5.1,N,25,2.4,Georgia
489,2016,Waldorf CDP  ,8.2,13,11,9.8,6.7,N,2.3,Maryland
490,2016,Lake Forest city  ,8.1,12.8,12.2,7.6,N,8.4,3.4,California
491,2016,Temecula city  ,8.1,9.9,6.1,6.9,N,10.2,5,California
492,2016,Schaumburg village  ,8.1,11.3,8.5,5.6,N,N,2.2,Illinois
493,2016,McKinney city  ,8.1,12.4,8.1,4.9,18.6,14.7,4.1,Texas
494,2016,Arlington CDP  ,8.1,7.6,8.5,4.2,10,16.9,3.5,Virginia
495,2016,Scottsdale city  ,8,9.4,6.2,6.8,N,16.7,4.3,Arizona
496,2016,Thornton city  ,8,8.2,8.5,3.4,N,17.1,2.7,Colorado
497,2016,Chesapeake city  ,8,14.7,5.3,5.6,12.8,N,1.4,Virginia
498,2016,Virginia Beach city  ,7.9,10.8,5.9,6.4,10.6,11.4,3.2,Virginia
499,2016,Milpitas city  ,7.8,9,6.3,,N,15.6,3.9,California
500,2016,Napa city  ,7.8,7.4,10.1,7.6,N,8.8,2.8,California
